self.tree_buffer: {'attn_mask': [tensor([[[[1., 0., 0., 0.],
          [0., 1., 0., 0.],
          [0., 0., 1., 0.],
          [0., 0., 0., 1.]]]], device='cuda:0'), tensor([[[[1., 0., 0., 0., 1., 0., 0., 0.],
          [1., 0., 0., 0., 0., 1., 0., 0.],
          [1., 0., 0., 0., 0., 0., 1., 0.],
          [0., 1., 0., 0., 0., 0., 0., 1.]]]], device='cuda:0'), tensor([[[[1., 0., 0., 0., 1., 0., 0., 0., 1.]]]], device='cuda:0'), tensor([[[[1., 0., 0., 0., 1., 0., 0., 0., 1., 1.]]]], device='cuda:0')], 'tree_indices': [tensor([0, 1, 2, 3], device='cuda:0'), tensor([ 0,  1,  2, 10], device='cuda:0'), tensor([0], device='cuda:0'), tensor([0], device='cuda:0')], 'position_ids': [tensor([0, 0, 0, 0], device='cuda:0'), tensor([0, 0, 0, 0], device='cuda:0'), tensor([0], device='cuda:0'), tensor([0], device='cuda:0')], 'repeat_nums': [[4], [3, 1], [1], [1]]}
warm up
requests: [<__main__.ModelRequest object at 0x7f6d72569640>]
self.acc_num: tensor([5], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([6], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([6], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([3], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([1], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([4], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([4], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([3], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([2], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([2], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([2], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([3], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([4], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([5], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([4], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([6], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([2], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([6], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([3], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([3], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([5], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([3], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([4], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([5], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([5], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([4], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([4], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([1], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([2], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([4], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([2], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([4], device='cuda:0', dtype=torch.int32)
self.acc_num: tensor([3], device='cuda:0', dtype=torch.int32)
